zone,framework,full_mape,w2024_mape,delta,pct_chg
BE,e2_prod,35.99,34.67,-1.32,-3.7
BE,e3_cons,64.42,32.44,-31.98,-49.6
BE,single_cons,41.57,31.13,-10.44,-25.1
BE,single_prod,36.18,29.79,-6.39,-17.7
FI,e2_prod,37.24,22.9,-14.34,-38.5
FI,e3_cons,24.04,15.0,-9.04,-37.6
FI,single_cons,12.05,13.81,1.76,14.6
FI,single_prod,15.35,18.65,3.3,21.5
SG,e2_prod,0.72,0.96,0.24,33.3
SG,e3_cons,0.9,1.0,0.1,11.1
SG,single_cons,0.71,0.84,0.13,18.3
SG,single_prod,0.68,0.67,-0.01,-1.5
US-MIDA-PJM,e2_prod,6.04,5.7,-0.34,-5.6
US-MIDA-PJM,e3_cons,8.3,8.61,0.31,3.7
US-MIDA-PJM,single_cons,5.93,8.6,2.67,45.0
US-MIDA-PJM,single_prod,6.31,6.06,-0.25,-4.0
US-NY-NYIS,e2_prod,8.9,9.01,0.11,1.2
US-NY-NYIS,e3_cons,7.03,7.53,0.5,7.1
US-NY-NYIS,single_cons,5.98,8.39,2.41,40.3
US-NY-NYIS,single_prod,6.37,7.33,0.96,15.1
